,Company,Q1 P/E,Q2 P/E,Q3 P/E,Q1 ROE,Q2 ROE,Q3 ROE,Q1 Date,Q2 Date,Q3 Date
0,DOCU,-299.59728668762,-400.94857124926784,-620.8740312887237,-0.08677403825913785,-0.0914405074332234,-0.12863350807246993,2020-01-31,2020-04-30,2020-07-31
1,ZM,1191.1003530869027,1473.6897892225297,405.68249806225094,0.01839334342994665,0.030028914267588403,0.15514442631538555,2020-01-31,2020-04-30,2020-07-31
2,DXCM,218.50403451995683,1273.2817587939699,849.3261339092871,0.10503059143439837,0.021294810058855,0.03419750350838319,2019-12-31,2020-03-31,2020-06-30
3,SPLK,-1064.434087469201,-72.35926631083943,-127.62533824170946,-0.01136724534854701,-0.1688230468134946,-0.15652888532424147,2020-01-31,2020-04-30,2020-07-31
4,SGEN,759.5569523809523,-118.0849574233085,-1390.5213553563,0.01376655063964095,-0.09537850203158328,-0.011680871319133642,2019-12-31,2020-03-31,2020-06-30
5,CDW,111.73028954741379,79.93906027397259,88.35250153358011,0.19327293554097677,0.18871529729122177,0.17913982569154982,2019-12-31,2020-03-31,2020-06-30
6,INTC,37.378981564084,39.398700582935874,47.92717657198825,0.08891435635277302,0.07414149880818294,0.062248506279721984,2019-12-28,2020-03-28,2020-06-27
7,XEL,112.88212191780822,107.01065491525424,114.76480836236935,0.02205604652919405,0.022177116223124342,0.021441912588718717,2019-12-31,2020-03-31,2020-06-30
8,GILD,30.154672700296732,60.67537588652482,-28.91874812818209,0.11968923418423974,0.07028594734218516,-0.18522216674987518,2019-12-31,2020-03-31,2020-06-30
9,TTWO,85.47999425575343,110.67992185590195,181.28251420823682,0.06812640115568674,0.04833013290569949,0.033385162284215786,2019-12-31,2020-03-31,2020-06-30
10,CHTR,148.8744285372549,234.47322537651516,140.43208978851175,0.022706312609317856,0.013365735115431349,0.026093473225235045,2019-12-31,2020-03-31,2020-06-30
11,ASML,177.8294658401914,109.02962962962962,312.7956983953846,0.0519426725209179,0.0900571791613723,0.031137724550898204,2019-09-29,2019-12-31,2020-03-28
12,FISV,325.2620404858299,167.4925714285714,33229.848,0.00748961460323236,0.012310397889646076,6.332520659848652e-05,2019-12-31,2020-03-31,2020-06-30
13,AMAT,60.72982769058296,61.93183298013245,68.849938882283,0.10300230946882218,0.08366578014184398,0.08788797157487721,2020-01-26,2020-04-26,2020-07-26
14,MXIM,112.47213173365286,78.93144829021652,76.17283591158622,0.0845926664732127,0.09950350104911099,0.12506991131594966,2019-12-28,2020-03-28,2020-06-27
15,MU,141.49911111111112,65.33577833125779,53.03566018421052,0.010939145936309862,0.021232152300370174,0.025335931890450303,2020-02-27,2020-05-28,2020-09-03
16,CTSH,85.60098860759494,68.62252970027247,84.8712108033241,0.03583741607693704,0.03458023179119947,0.03290193219103172,2019-12-31,2020-03-31,2020-06-30
17,PCAR,51.050162845849805,58.58807982749026,175.1133375761679,0.054738772524494904,0.03729221574283521,0.015107192537435562,2019-12-31,2020-03-31,2020-06-30
18,PYPL,253.46343195266275,1350.617857142857,134.82896732026143,0.03002665087355641,0.00526085050416484,0.08673469387755102,2019-12-31,2020-03-31,2020-06-30
19,INCY,171.8388061799018,-22.02269480546513,78.9482634396379,0.04272042167390316,-0.3719018372614014,0.12381536498274336,2019-12-31,2020-03-31,2020-06-30
20,JD,28.89265169517831,112.49999987416355,-343.1513978379392,0.04439448949172553,0.012727757655614761,,2019-12-31,2020-03-31,2020-05-15
21,WBA,41.82785950369588,-21.940301908665102,89.63750134048259,0.03992579788355327,-0.08236485508993587,0.01807433250957019,2020-02-29,2020-05-31,2020-08-31
22,COST,152.81476500547797,164.01655171181386,111.21666054526135,0.056037077163837726,0.04987501487918105,0.07596805950557865,2020-02-16,2020-05-10,2020-08-30
23,GOOG,87.10401507450098,125.65204148319191,148.97426184652966,0.052973064207067044,0.03356591164642859,0.03356614348694301,2019-12-31,2020-03-31,2020-06-30
