Company,Q1 Op Income Growth,Q2 Op Income Growth,Q3 Op Income Growth,Q1 EPS Growth,Q2 EPS Growth,Q3 EPS Growth,Q1 Rev Growth,Q2 Rev Growth,Q3 Rev Growth,Q1 Date,Q2 Date,Q3 Date
DOCU,0.03736618405800395,0.01180553915897339,-0.40097484051322485,-0.0027551371828722243,0.003014691852699916,-0.33671438413840615,0.10177473527266315,0.08047436293857654,0.15215290707265913,2020-01-31,2020-04-30,2020-07-31
ZM,7.285288862418106,1.2159575476167914,7.043788753474449,7.48476821192053,0.4317827037152667,5.823811600523332,0.13000546241438715,0.7432417357676718,1.0218973876105764,2020-01-31,2020-04-30,2020-07-31
DXCM,0.8125,-0.6689655172413793,0.8571428571428571,1.0218120127640666,-0.7887481519958445,1.2570455835067147,0.16780217007317688,-0.12467588591184096,0.11528017773389286,2019-12-31,2020-03-31,2020-06-30
SPLK,0.8363904390860272,-36.14918264898957,0.17030823389186867,0.6143310417768376,-12.298848210612917,0.15246137428664217,0.26319100291217495,-0.45135632509334134,0.13265158024958706,2020-01-31,2020-04-30,2020-07-31
SGEN,0.572150940033859,-1.924845108554173,0.16367762894397223,1.275134887974394,-7.495313434820182,0.8749347552426082,0.3589042637494549,-0.19078411616126761,0.1854217658647245,2019-12-31,2020-03-31,2020-06-30
CDW,-0.11478477854023705,-0.1338971106412967,0.1529698942229455,-0.07605237038766925,-0.08475312591328796,0.1309450864308337,-0.07555474050981112,-0.032555269016288656,-0.005354050852091497,2019-12-31,2020-03-31,2020-06-30
INTC,0.03545681918493453,-0.19053708439897699,-0.11198876601720203,-0.16894026194349668,-0.09232585596221962,-0.14403678963445338,-0.018852986293235688,-0.005043373007867662,-0.07071167883211679,2020-03-28,2020-06-27,2020-09-26
XEL,-0.40633245382585753,0.011111111111111112,-0.07252747252747253,-0.4511922651059791,0.008358402536342797,-0.027118280722439523,-0.07135745104546963,0.004646175839885632,-0.08004268943436499,2019-12-31,2020-03-31,2020-06-30
GILD,1.7420230821452818,1.1976212259835315,-2.24188176519567,3.3014605922848537,-0.4228913556094264,-3.1785369208849876,0.04907209136331192,-0.05630209219254975,-0.07299927901946647,2019-12-31,2020-03-31,2020-06-30
TTWO,1.3634456027800053,-0.31073951129031346,-0.32605592202421974,1.275125887566915,-0.25177691201318203,-0.2815751411374982,0.08426736423183318,-0.18232739759753755,0.09305086773757101,2019-12-31,2020-03-31,2020-06-30
