Company,Q1 Op Income Growth,Q2 Op Income Growth,Q3 Op Income Growth,Q1 EPS Growth,Q2 EPS Growth,Q3 EPS Growth,Q1 Rev Growth,Q2 Rev Growth,Q3 Rev Growth,Q1 Date,Q2 Date,Q3 Date
DOCU,-42353000,-41853000,-58635000,-0.26205,-0.26126,-0.34923,274895000,297017000,342209000,2020-01-31,2020-04-30,2020-07-31
ZM,10553000,23385000,188104000,0.06406,0.09172,0.62588,188251000,328167000,663520000,2020-01-31,2020-04-30,2020-07-31
DXCM,101500000,33600000,62400000,1.00108,0.21148,0.47732,462800000,405100000,451800000,2019-12-31,2020-03-31,2020-06-30
SPLK,-7769000.0,-288612000,-239459000,-0.14586,-1.93977,-1.64403,791182000,434077000,491658000,2020-01-31,2020-04-30,2020-07-31
SGEN,-38414000,-112355000,-93965000,0.15043,-0.97709,-0.1222,289804000,234514000,277998000,2019-12-31,2020-03-31,2020-06-30
CDW,283800000,245800000,283400000,1.26603,1.15873,1.31046,4536900000,4389200000,4365700000,2019-12-31,2020-03-31,2020-06-30
INTC,7038000000,5697000000,5059000000,1.31285,1.19164,1.02,19828000000,19728000000,18333000000,2020-03-28,2020-06-27,2020-09-26
XEL,450000000,455000000,422000000,0.55513,0.55977,0.54459,2798000000,2811000000,2586000000,2019-12-31,2020-03-31,2020-06-30
GILD,1093000000,2402000000,-2983000000,2.11617,1.22126,-2.66056,5879000000,5548000000,5143000000,2019-12-31,2020-03-31,2020-06-30
TTWO,176833000,121884000,82143000,1.43226,1.07165,0.7699,930129000,760541000,831310000,2019-12-31,2020-03-31,2020-06-30
CHTR,1934000000,1775000000,1933000000,3.25832,1.86081,3.63193,11761000000,11738000000,11696000000,2019-12-31,2020-03-31,2020-06-30
ASML,,,,,,,,,,,,
FISV,478000000,629000000,165000000,0.3555,0.56713,0.00294,4045000000,3769000000,3465000000,2019-12-31,2020-03-31,2020-06-30
AMAT,1042000000,932000000,1108000000,0.96224,0.81798,0.91215,4162000000,3957000000,4395000000,2020-01-26,2020-04-26,2020-07-26
MXIM,169056000,183347000,177987000,0.53446,0.59353,0.77191,551070000,561916000,545369000,2019-12-28,2020-03-28,2020-06-27
