,Symbol,Q1 P/E,Q2 P/E,Q3 P/E,Q1 ROE,Q2 ROE,Q3 ROE,Q1 Date,Q2 Date,Q3 Date
0,MMM,103.16502050567594,60.28791265479876,69.59829953488372,0.09629335188313624,0.12732827436680794,0.11881735285990605,2019-12-31,2020-03-31,2020-06-30
1,AOS,84.33944352656079,117.93976013450676,112.20085622348083,0.05477561795056395,0.03198663614428015,0.0408901755020807,2019-12-31,2020-03-31,2020-06-30
2,ABT,145.7149522096282,247.1189699744681,302.74677291620117,0.03374292331446217,0.018664372228473097,0.01756164562757538,2019-12-31,2020-03-31,2020-06-30
3,ABBV,45.14518197072474,39.60815913621263,-216.46690609756098,-0.34275575134605973,-0.4059339177343223,-0.0501767745444656,2019-12-31,2020-03-31,2020-06-30
4,ABMD,112.61843261048587,207.5233800867979,246.76631470350767,0.06611848923880202,0.029844218398334624,0.040466561631005364,2019-12-31,2020-03-31,2020-06-30
5,ACN,92.47945600550561,106.51703663030673,120.69205612516592,0.07979145681995173,0.07669261422978499,0.07575205409371258,2020-02-29,2020-05-31,2020-08-31
6,ATVI,87.02973942857143,90.5678091089109,101.54896551724138,0.04099960952752831,0.03878350357115429,0.04239146323636895,2019-12-31,2020-03-31,2020-06-30
7,ADBE,176.35451308900522,170.45545454545456,262.27581253403145,0.09125656951743909,0.10109364948074626,0.08153333902501494,2020-02-28,2020-05-29,2020-08-28
8,AAP,114.409822073467,188.57022872350188,49.044947883765,0.027023051883008586,0.012323336902241966,0.05097518622607318,2019-12-28,2020-04-18,2020-07-11
9,AMD,314.8389411764706,351.93777777777774,391.54585987261146,0.060134418111071807,0.05334211392821864,0.04750378214826021,2019-12-28,2020-03-28,2020-06-27
10,AES,-165.73410769230767,61.879530555555554,-115.01775903614458,-0.0260347129506008,0.05671524222134699,-0.033712428919577576,2019-12-31,2020-03-31,2020-06-30
11,AFL,48.91093081382842,43.32963784876325,31.974241583602485,0.0269691632998377,0.02143776986591925,0.02736233854520734,2019-12-31,2020-03-31,2020-06-30
12,A,130.56691725888325,236.31497821782176,151.02994974874372,0.040635313531353134,0.02118288590604027,0.0399518169042361,2020-01-31,2020-04-30,2020-07-31
13,APD,108.46233275862069,92.34848200083717,120.27033370660696,0.041156109380408444,0.042015846076733,0.03829560951343563,2019-12-31,2020-03-31,2020-06-30
14,AKAM,118.89253266162888,121.60727234339727,108.97696396257297,0.03255914912090297,0.03353450149201382,0.04147099540377969,2019-12-31,2020-03-31,2020-06-30
15,ALK,46.52597847513812,-15.071674396551725,-20.891182056074765,0.041791734010621105,-0.057783312577833125,-0.05542605542605543,2019-12-31,2020-03-31,2020-06-30
