,Company,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price
0,Westinghouse Air Brake Technologies Corp,WAB,2020-06-30,57.4712,2020-03-31,47.9386,2019-12-31,77.3759
1,Take-Two Interactive Software Inc,TTWO,2020-06-30,139.57,2020-03-31,118.61,2019-12-31,122.43
2,Church & Dwight Co Inc,CHD,2020-06-30,77.1044,2020-03-31,63.8084,2019-12-31,70.325
3,Martin Marietta Materials Inc,MLM,2020-06-30,206.0021,2020-03-31,188.1841,2019-12-31,277.4322
4,Edwards Lifesciences Corp,EW,2020-06-30,69.11,2020-03-31,62.8733,2019-12-31,77.7633
5,Philip Morris International Inc,PM,2020-06-30,70.06,2020-03-31,71.8157,2019-12-31,82.2803
6,Dollar General Corp,DG,2020-07-31,190.4,2020-05-01,172.6713,2020-01-31,152.7787
7,Schlumberger NV,SLB,2020-09-30,15.56,2020-06-30,18.2691,2020-03-31,13.3104
8,Citigroup Inc,C,2020-06-30,50.5877,2020-03-31,41.2598,2019-12-31,77.743
9,Newell Brands Inc,NWL,2020-06-30,15.6544,2020-03-31,12.8821,2019-12-31,18.3856
10,Morgan Stanley,MS,2020-06-30,47.9658,2020-03-31,33.4703,2019-12-31,49.9954
11,Molson Coors Beverage Co,TAP,2020-06-30,34.36,2020-03-31,39.01,2019-12-31,53.287
12,Merck & Co Inc,MRK,2020-06-30,77.33,2020-03-31,76.3332,2019-12-31,89.4934
13,HollyFrontier Corp,HFC,2020-06-30,29.200001,2020-03-31,24.51,2019-12-31,50.709999
14,Huntington Ingalls Industries Inc,HII,2020-06-30,173.3221,2020-03-31,180.0852,2019-12-31,246.7922
15,Norwegian Cruise Line Holdings Ltd,NCLH,2020-06-30,16.43,2020-03-31,10.96,2019-12-31,58.41
16,Mettler-Toledo International Inc,MTD,2020-06-30,805.55,2020-03-31,690.51,2019-12-31,793.28
17,Fortune Brands Home & Security Inc,FBHS,2020-06-30,63.7509,2020-03-31,42.9677,2019-12-31,64.6731
18,Alaska Air Group Inc,ALK,2020-06-30,36.26,2020-03-31,28.47,2019-12-31,67.368
